,Track Name,Artist,Album,Preview URL,Cover Art URL
0,Mr. Tambourine Man,The Byrds,Mr. Tambourine Man,https://p.scdn.co/mp3-preview/2147c3bcac56bd48da6e54a5dc3fadf0e79bc5a2?cid=3cfe7e53e98a4e8b99785159a125ef91,https://i.scdn.co/image/ab67616d0000b273576fccf9a91d9f7c808b8abd
1,Mr. Tambourine Man,Bob Dylan,Bringing It All Back Home,https://p.scdn.co/mp3-preview/f4270fc48011ef0864a7c32a889d641579dba929?cid=3cfe7e53e98a4e8b99785159a125ef91,https://i.scdn.co/image/ab67616d0000b2736960c5f4eb72f0c06aa92181
2,Mr. Tambourine Man,The Byrds,THE ORIGINAL SINGLES 1965 - 1967 Volume I,https://p.scdn.co/mp3-preview/e1b3e44b9782749885d073c69262bdd8875595b9?cid=3cfe7e53e98a4e8b99785159a125ef91,https://i.scdn.co/image/ab67616d0000b2733188c44348f2438b5ebd82cf
3,I Wrote Mr. Tambourine Man (Live),John Craigie,Capricorn in Retrograde... Just Kidding... Live in Portland,https://p.scdn.co/mp3-preview/a93e08b43d34db7f4c5fce1d53bb53eaa2e6c96d?cid=3cfe7e53e98a4e8b99785159a125ef91,https://i.scdn.co/image/ab67616d0000b273733ce2d728629fadb8d8cf44
4,Mr. Tambourine Man,The Byrds,Preflyte,https://p.scdn.co/mp3-preview/021934756ee3b472afc849efa81e9c4e4047614c?cid=3cfe7e53e98a4e8b99785159a125ef91,https://i.scdn.co/image/ab67616d0000b2737df9d9e76f17e4942163c0b2
5,I Wrote Mr. Tambourine Man (Live),John Craigie,I Wrote Mr. Tambourine Man (Live),https://p.scdn.co/mp3-preview/e1d2e4998ec9c66c0c521a063ff4c8a39e20359b?cid=3cfe7e53e98a4e8b99785159a125ef91,https://i.scdn.co/image/ab67616d0000b2736fab77e85385343f4c6ae975
6,Mr. Tambourine Man,Stevie Wonder,Down To Earth,None,https://i.scdn.co/image/ab67616d0000b273fdeb1dd616d6f2f02eea9a3d
7,Mr. Tambourine Man - Recorded at Spotify Studios NYC,Hamilton Leithauser,Spotify Singles (Recorded at Spotify Studios NYC),https://p.scdn.co/mp3-preview/f373f28bce8c3e275a305196aab7577eef87c0c8?cid=3cfe7e53e98a4e8b99785159a125ef91,https://i.scdn.co/image/ab67616d0000b2739037ed90e11d724ebf3ca0db
8,Mr. Tambourine Man,Bob Dylan,The Essential Bob Dylan,https://p.scdn.co/mp3-preview/87a367559d5e0fa1e390668e2f0c6176fd723d08?cid=3cfe7e53e98a4e8b99785159a125ef91,https://i.scdn.co/image/ab67616d0000b273ec8bd4c7fd93b7a0cd80a994
9,Mr. Tambourine Man,The Helio Sequence,Subterranean Homesick Blues: A Tribute to Bob Dylan's 'Bringing It All Back Home',https://p.scdn.co/mp3-preview/469c7b7723bc08443653af20d6d91e77a9280403?cid=3cfe7e53e98a4e8b99785159a125ef91,https://i.scdn.co/image/ab67616d0000b273f80647154002151dd26b5b3b
